symbol,address,city,zip,country,phone,website,industry,industryKey,sector,sectorKey,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,fitytwoWeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,region,typeDisp,quoteSourceName,customPriceAlertConfidence,shortName,longName,postMarketChangePercent,fullExchangeName,averageDailyVolume3Month,exchange,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,averageAnalystRating,cryptoTradeable,displayName,trailingPegRatio
CMA,Comerica Bank Tower,Dallas,75201,United States,833 571 0486,https://www.comerica.com,Banks - Regional,banks-regional,Financial Services,financial-services,"Comerica Incorporated, together with its subsidiaries, provides financial services in the United States, Canada, and Mexico. The company operates through Commercial Bank, Retail Bank, and Wealth Management segments. The Commercial Bank segment offers various products and services, including commercial loans and lines of credit, deposits, cash management, payment solutions, card services, capital market products, international trade finance, letters of credit, foreign exchange management services, and loan syndication services for small and middle market businesses, multinational corporations, and governmental entities. The Retail Bank segment provides personal financial services, such as consumer lending, consumer deposit gathering, and mortgage loan origination; and various consumer products that include deposit accounts, installment loans, credit cards, home equity lines of credit, and residential mortgage loans. The Wealth Management segment offers products and services comprising financial planning, trust and fiduciary services, investment management and advisory, brokerage, private banking, and business transition planning services for affluents, high-net worth and ultra-high-net-worth individuals and families, business owners and executives, and institutional clients. The company was formerly known as DETROITBANK Corporation and changed its name to Comerica Incorporated in July 1982. Comerica Incorporated was founded in 1849 and is headquartered in Dallas, Texas.",7876.0,1.0,3.0,1.0,1.0,1769904000.0,http://investor.comerica.com/phoenix.zhtml?c=114699&p=irol-irhome,2.84,0.032,1765756800.0,0.53790003,4.45,1.031,16.79356,15.71383,10142118.0,2354484.0,7460613.0,11348051968.0,48.12,99.41,102.66,1.458784,3.4746027,88.3238,72.0281,2.84,0.030583674,USD,9667052544.0,0.22137,126450088.0,127980738.0,8106080.0,7871296.0,1765756800.0,1768435200.0,0.0633,0.00709,0.89359003,5.66,0.083000004,127980738.0,57.157,1.5513409,1767139200.0,1798675200.0,1767139200.0,0.035,691000000.0,5.28,5.46419,3:2,891475200.0,2.96,,,0.16888046,0.71,1765756800.0,EQUITY,88.67,hold,8.0,7496999936.0,58.579,,5424000000.0,,,3265999872.0,,25.192,0.00907,0.10147,3265999872.0,,,0.036,0.04,0.0,0.0,0.30144,USD,,,,,Comerica Incorporated,Comerica Incorporated,,,,NYQ,,,-14400000.0,,,,,,,,,,,,,,,,,,,,16.3507
CMCSA,One Comcast Center,Philadelphia,19103-2838,United States,(215) 286-1700,https://corporate.comcast.com,Telecom Services,telecom-services,Communication Services,communication-services,"Comcast Corporation operates as a media and technology company worldwide. The company operates through Residential Connectivity & Platforms, Business Services Connectivity, Media, Studios, and Theme Parks segments. Its Residential Connectivity & Platforms segment provides residential broadband and wireless connectivity services, residential and business video services, sky-branded entertainment television networks, and advertising. The Business Services Connectivity segment offers connectivity services for small business locations, which include broadband, wireline voice, and wireless services; and ethernet network services for medium-sized customers and larger enterprises. Its Media segment operates NBCUniversal's national and regional cable networks; the NBC and Telemundo broadcast networks and owned local broadcast television stations; and Peacock, a direct-to-consumer streaming services. The company also operates international television networks comprising the Sky Sports networks, as well as other digital properties. Its Studios segment operates NBCUniversal and Sky film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. It also offers a consolidated streaming platforms under the Philadelphia Flyers and the Xfinity Mobile Arena in Philadelphia, Pennsylvania; and Xumo. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",179000.0,10.0,9.0,10.0,10.0,1772323200.0,http://cmcsk.com/,1.32,4.55,1775001600.0,0.18370001,2.87,0.78,5.4230056,7.340274,4816642.0,30797716.0,26256950.0,106511032320.0,24.133083,35.35145,57.9194,0.0772,0.8609944,30.1626,29.697092,1.32,0.045548655,USD,200290582528.0,0.16166,3560068611.0,3588401619.0,77168966.0,79270043.0,1769731200.0,1772150400.0,0.0214,0.0075700004,0.88759005,2.36,0.0217,3643894506.0,26.886,1.0871829,1767139200.0,1798675200.0,1767139200.0,-0.546,19997999104.0,5.39,3.98214,1067:1000,1767571200.0,1.619,5.431,,0.16888046,0.33,1768348800.0,EQUITY,29.23,hold,22.0,9480999936.0,2.635,36879998976.0,105032998912.0,0.697,0.882,123706998784.0,107.863,33.443,0.04795,0.2141,88756002816.0,5592124928.0,33642999808.0,-0.525,0.012,0.71747,0.29812,0.107889995,USD,US,Equity,Nasdaq Real Time Price,HIGH,Comcast Corporation,Comcast Corporation,,NasdaqGS,30797716.0,NMS,America/New_York,EDT,-14400000.0,us_market,5.096916,0.21120037,24.133083 - 35.35145,-6.1214523,-0.17315985,-17.049826,5.39,3.98214,3.67294,7.9582024,-0.9326,-0.030919086,-0.4670925,-0.015728561,15.0,2.7 - Hold,False,,142.9829
CME,20 South Wacker Drive,Chicago,60606,United States,312 930 1000,https://www.cmegroup.com,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,"CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide. It offers futures and options products based on interest rates, equity indexes, and foreign exchange; and agricultural, energy, and metals commodities, as well as fixed income and foreign currency trading services. The company provides clearing house services, including clearing, settling, and guaranteeing futures and options contracts, and cleared swaps products traded through its exchanges. In addition, the company offers a range of market data services, including real-time and historical data services. It serves professional traders, financial institutions, institutional and individual investors, corporations, manufacturers, producers, governments, and central banks. The company was formerly known as Chicago Mercantile Exchange Holdings Inc. and changed its name to CME Group Inc. in July 2007. The company was founded in 1898 and is headquartered in Chicago, Illinois.",3875.0,1.0,9.0,10.0,10.0,1772323200.0,http://investor.cmegroup.com/investor-relations/stockquote.cfm,5.2,1.67,1773100800.0,0.44799998,3.42,0.26,27.78251,24.371294,307605.0,2132513.0,2199950.0,111367954432.0,248.53,329.16,329.16,7.78,17.115625,297.375,278.4309,5.0,0.016092176,USD,110643822592.0,0.62584,356993723.0,358622331.0,4946234.0,5207550.0,1769731200.0,1772150400.0,0.0138,0.00496,0.92576,2.04,0.0138,359512428.0,80.033,3.870591,1767139200.0,1798675200.0,1767139200.0,0.353,4020999936.0,11.15,12.71065,5:1,1343001600.0,17.004,24.105,,0.16888046,7.45,1773100800.0,EQUITY,309.775,hold,14.0,4541899776.0,12.665,4590000128.0,3757199872.0,0.032,1.032,6506800128.0,13.078,18.092,0.01585,0.1475,6506800128.0,837262528.0,4277100032.0,0.35,0.08,1.0,0.70542,0.63808,USD,US,Equity,Nasdaq Real Time Price,HIGH,CME Group Inc.,CME Group Inc.,,NasdaqGS,2132513.0,NMS,America/New_York,EDT,-14400000.0,us_market,61.244995,0.24642898,248.53 - 329.16,-19.38501,-0.05889236,17.296373,11.15,12.71065,12.09429,25.613327,12.399994,0.041698173,31.344086,0.11257402,15.0,2.7 - Hold,False,CME,5.9046
CMG,610 Newport Center Drive,Newport Beach,92660,United States,949 524 4000,https://www.chipotle.com,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,"Chipotle Mexican Grill, Inc., together with its subsidiaries, owns and operates Chipotle Mexican Grill restaurants. It sells food and beverages, such as burritos, burrito bowls, quesadillas, tacos, and salads, as well as kids's meals, chips, and sides. It offers Mexican-inspired meals using responsibly sourced meats, such as chicken, beef, and pork branded as Responsibly Raised. The company also provides digital ordering through its website, mobile app, and third-party delivery platforms. It has operations in the United States, Canada, France, Germany, and the United Kingdom. Chipotle Mexican Grill, Inc. was founded in 1993 and is headquartered in Newport Beach, California.",130301.0,6.0,1.0,7.0,9.0,1772323200.0,http://ir.chipotle.com/phoenix.zhtml?c=194775&p=irol-irhome,,,,0.0,,1.019,29.214912,24.348608,2848264.0,16906584.0,18014160.0,44038471680.0,29.75,58.42,69.2614,0.7372,3.6927674,37.7744,41.05275,0.0,0.0,USD,46928490496.0,0.12878,1292824142.0,1302423000.0,40405877.0,30528793.0,1769731200.0,1772150400.0,0.031,0.00621,0.91121,2.16,0.0312,1322278000.0,2.17,15.347926,1767139200.0,1798675200.0,1767139200.0,-0.003,1535761024.0,1.14,1.36784,50:1,1719360000.0,3.935,19.702,,0.16888046,,,EQUITY,33.305,buy,34.0,1049136000.0,0.806,2381942016.0,5075813888.0,1.092,1.235,11925601280.0,179.319,8.917,0.13878,0.47355,4782030848.0,1011670272.0,2113926016.0,0.04,0.049,0.40098998,0.19973,0.15213001,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",,NYSE,16906584.0,NYQ,America/New_York,EDT,-14400000.0,us_market,3.5550003,0.11949581,29.75 - 58.42,-25.114998,-0.42990413,-32.74263,1.14,1.36784,1.14499,29.087591,-4.4693985,-0.11831819,-7.7477493,-0.18872668,15.0,1.7 - Buy,False,Chipotle Mexican Grill,1.7087
CMI,500 Jackson Street,Columbus,47202-3005,United States,812 377 5000,https://www.cummins.com,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,"Cummins Inc. offers various power solutions worldwide. The company operates through five segments: Engine, Distribution, Components, Power Systems, and Accelera. It offers diesel and natural gas-powered engines; and drivetrain systems, including axles, drivelines, brakes, and suspension systems; and on- and off-highway, and other products. The company also provides aftertreatment technology and solutions comprising custom engineering systems and integrated controls, oxidation catalysts, particulate filters, and selective catalytic reduction systems, as well as engineered components, including dosers; turbochargers, fuel systems, and valvetrain technologies; electronic control modules, sensors, and supporting software; and automated manual transmissions, and automatic transmissions for internal combustion engines. In addition, it sells and offers support services power generation systems, high-horsepower engines, and heavy-duty and medium-duty engines; offers application engineering services, custom-designed assemblies, and in-shop and field-based repair services; and retail and wholesale aftermarket parts. Further, the company offers standby and prime power generators, controls, paralleling systems, and transfer switches; turnkey solutions for distributed generation and energy management applications using natural gas, diesel, battery energy storage systems, and newer alternative sustainable fuels; diesel and natural gas high-speed, high-horsepower engines; and A/C generator/alternator products. Additionally, it provides electrified power systems, including batteries, fuel cells, and electric powertrain technologies. It sells its products to original equipment manufacturers, distributors, dealers, and other customers. The company was formerly known as Cummins Engine Company and changed its name to Cummins Inc. in 2001. Cummins Inc. was founded in 1919 and is headquartered in Columbus, Indiana.",67400.0,7.0,7.0,2.0,4.0,1772323200.0,http://phx.corporate-ir.net/phoenix.zhtml?c=112916&p=irol-IRHome,7.82,1.45,1771545600.0,0.3727,2.35,1.127,26.410402,17.190441,123589.0,914813.0,819130.0,74731626496.0,260.02,617.98,617.98,1.453125,2.2195315,572.6884,452.8856,7.64,0.014141863,USD,80206512128.0,0.08444,137505032.0,138165463.0,1477338.0,1378524.0,1769731200.0,1772150400.0,0.0107,0.0034,0.8737,1.31,0.0123000005,138165463.0,89.421,6.048747,1767139200.0,1798675200.0,1767139200.0,0.419,2843000064.0,20.48,31.46429,2:1,1199318400.0,2.382,15.454,,0.16888046,2.0,1771545600.0,EQUITY,540.885,buy,19.0,3608999936.0,26.121,5190000128.0,8113999872.0,1.019,1.761,33670000640.0,60.516,244.162,0.078150004,0.23928,8673000448.0,1372999936.0,3620999936.0,0.414,0.011,0.25759,0.15414,0.10918,USD,US,Equity,Nasdaq Real Time Price,HIGH,Cummins Inc.,Cummins Inc.,,NYSE,914813.0,NYQ,America/New_York,EDT,-14400000.0,us_market,280.86502,1.080167,260.02 - 617.98,-77.09497,-0.124753185,68.67121,20.48,31.46429,26.31537,20.553957,-31.803406,-0.055533525,87.99942,0.19430828,15.0,2.2 - Buy,False,Cummins,1.4877
CMS,One Energy Plaza,Jackson,49201,United States,517 788 0550,https://www.cmsenergy.com,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,"CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates through three segments: Electric Utility; Gas Utility; and NorthStar Clean Energy. The Electric Utility segment is involved in the generation, purchase, distribution, and sale of electricity. This segment generates electricity through coal, wind, gas, renewable energy, oil, and nuclear sources. Its distribution system comprises 263 miles of high-voltage distribution overhead lines; 4 miles of high-voltage distribution underground lines; 4,619 miles of high-voltage distribution overhead lines; 18 miles of high-voltage distribution underground lines; 82,854 miles of electric distribution overhead lines; 10,027 miles of underground distribution lines; and 1,102 substations. The Gas Utility segment engages in the purchase, transmission, storage, distribution, and sale of natural gas, which includes 2,337 miles of transmission lines; 14 gas storage fields; 28,433 miles of distribution mains; and 8 compressor stations. The NorthStar Clean Energy segment is involved in the independent power production and marketing, including the development and operation of renewable generation. The company serves 1.9 million electric and 1.8 million gas customers, including residential, commercial, and diversified industrial customers. The company was incorporated in 1987 and is headquartered in Jackson, Michigan.",8350.0,3.0,5.0,4.0,3.0,1772323200.0,http://phx.corporate-ir.net/phoenix.zhtml?c=101338&p=irol-IRhome,2.28,2.94,1771286400.0,0.6156,2.98,0.432,21.920456,18.479225,352969.0,2950745.0,2461900.0,23643437056.0,67.71,78.88,78.88,3.41,2.7688766,74.0584,72.44105,2.17,0.028018078,USD,42937298944.0,0.12542,304340303.0,306420901.0,15512023.0,14406523.0,1769731200.0,1772150400.0,0.0506,0.00542,0.98344004,4.22,0.0573,306420901.0,29.111,2.6505446,1767139200.0,1798675200.0,1767139200.0,0.091,1061000000.0,3.52,4.1755,,,5.028,14.222,,0.16888046,0.57,1771286400.0,EQUITY,77.16,buy,13.0,509000000.0,1.661,3019000064.0,18922999808.0,0.516,0.979,8538999808.0,194.861,28.425,0.031519998,0.108559996,3545999872.0,-1742375040.0,2235000064.0,0.066,0.123,0.41527,0.35355,0.21675,USD,US,Equity,Nasdaq Real Time Price,HIGH,CMS Energy Corporation,CMS Energy Corporation,,NYSE,2950745.0,NYQ,America/New_York,EDT,-14400000.0,us_market,9.450005,0.13956587,67.71 - 78.88,-1.7199936,-0.021805193,5.414963,3.52,4.1755,3.8742,19.91637,3.1016006,0.04188047,4.718956,0.06514202,15.0,2.3 - Buy,False,CMS Energy,2.9909
CNC,Centene Plaza,Saint Louis,63105,United States,314 725 4477,https://www.centene.com,Healthcare Plans,healthcare-plans,Healthcare,healthcare,"Centene Corporation operates as a managed care company that provides programs and services to under-insured families, and commercial organizations in the United States. It operates through four segments: Medicaid, Medicare, Commercial, and Other. The Medicaid segment offers the temporary assistance for needy families; medicaid expansion; aged, blind, or disabled; and children's health insurance programs, as well as long-term services and supports; foster care; and medicare-medicaid plans. This segment also provides healthcare products and services. The Medicare segment offers special needs and medicare supplement, and prescription drug plans. The Commercial segment provides health insurance marketplace product for individual and commercial group. The Other segment operates clinical healthcare and pharmacies, as well as offers vision and dental, behavioral health, and centralized services. It provides services through primary and specialty care physicians, hospitals, behavioral health practitioners, and ancillary providers. The company was founded in 1984 and is headquartered in Saint Louis, Missouri.",61100.0,2.0,1.0,1.0,1.0,1772323200.0,http://www.centene.com/investors/,,,,0.0,,0.459,,8.5646515,583295.0,6205589.0,7622050.0,17170185216.0,25.08,66.03,98.53,1.189167,0.09747424,42.325,38.129,0.0,0.0,USD,15437294592.0,-0.037890002,458979710.0,491771000.0,12698418.0,12733333.0,1769731200.0,1772150400.0,0.025799999,0.00654,0.98319,1.86,0.0296,491771000.0,40.575,0.8605052,1767139200.0,1798675200.0,1767139200.0,,-6673999872.0,-13.53,4.07664,2:1,1549497600.0,0.088,6.028,,0.16888046,,,EQUITY,34.915,hold,17.0,20320000000.0,41.32,2560999936.0,18161999872.0,1.045,1.1,176151003136.0,90.556,357.22,0.0101,-0.28678,18449000448.0,5053000192.0,5088000000.0,,0.232,0.104729995,0.01454,-0.01878,USD,US,Equity,Nasdaq Real Time Price,HIGH,Centene Corporation,Centene Corporation,,NYSE,6205589.0,NYQ,America/New_York,EDT,-14400000.0,us_market,9.835001,0.3921452,25.08 - 66.03,-31.114998,-0.47122517,-38.60781,-13.53,4.07664,2.98354,11.702541,-7.41,-0.17507383,-3.2140007,-0.08429281,15.0,2.8 - Hold,False,Centene,0.7957
CNP,1111 Louisiana Street,Houston,77002,United States,713 207 1111,https://www.centerpointenergy.com,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The company operates through Electric; Natural Gas; and Corporate and Other segments. The Electric segment provides electric transmission and distribution services to electric customers and electric generation assets, as well as optimizes assets in the wholesale power market in Indiana Electric's service territory. The Natural Gas segment engages in the intrastate natural gas sales, and natural gas transportation and distribution for residential, commercial, and industrial customers in Indiana, Minnesota, Ohio, and Texas; permanent pipeline connections through interconnects with various interstate and intrastate pipeline companies; and provides home appliance maintenance and repair services to customers in Minnesota and home repair protection plans to natural gas customers in Indiana, Mississippi, Ohio, and Texas through a third party. As of December 31, 2025, it served approximately 2,859,313 metered customers; owned 355 substations with transformer capacity of 81,692 megavolt amperes; and owned and operated approximately 208 miles of intrastate pipeline in Louisiana and Texas. The company was founded in 1866 and is headquartered in Houston, Texas.",8794.0,2.0,4.0,8.0,5.0,1772323200.0,http://investors.centerpointenergy.com/,0.92,2.13,1771459200.0,0.55,2.45,0.539,27.06875,20.790232,759476.0,5319079.0,4580880.0,28331812864.0,34.72,44.39,44.39,3.57432,3.0278738,41.1856,38.88495,0.88,0.02034682,USD,50730696704.0,0.11243,648843366.0,654163245.0,37310888.0,34461629.0,1769731200.0,1772150400.0,0.056999996,0.00234,1.01722,5.63,0.0731,654163245.0,17.083,2.535269,1767139200.0,1798675200.0,1767139200.0,0.065,1052000000.0,1.6,2.08319,1000:843,1033430400.0,5.422,14.119,,0.16888046,0.23,1771459200.0,EQUITY,43.31,buy,16.0,548000000.0,0.839,3592999936.0,23042000896.0,0.318,0.911,9356999680.0,206.599,14.336,0.02892,0.096429996,4249999872.0,-3899749888.0,2486000128.0,0.052,0.107,0.45421,0.38399,0.21476999,USD,US,Equity,Nasdaq Real Time Price,HIGH,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",,NYSE,5319079.0,NYQ,America/New_York,EDT,-14400000.0,us_market,8.59,0.24740782,34.72 - 44.39,-1.079998,-0.02432976,20.855463,1.6,2.08319,1.9076,22.703922,2.124401,0.051581163,4.4250526,0.113798596,15.0,2.2 - Buy,False,CenterPoint Energy,2.6338
COF,1680 Capital One Drive,McLean,22102,United States,703 720 1000,https://www.capitalone.com,Credit Services,credit-services,Financial Services,financial-services,"Capital One Financial Corporation operates as the financial services holding company for the Capital One, National Association, which engages in the provision of various financial products and services in the United States, Canada, and the United Kingdom. It operates through three segments: Credit Card, Consumer Banking, and Commercial Banking. The company accepts checking accounts, money market deposits, negotiable order of withdrawals, savings deposits, time deposits, and sweep accounts. Its loan products include credit card and personal loans; auto and retail banking loans; and commercial and multifamily real estate, and commercial and industrial loans. The company offers credit and debit card products; bank lending; and provides advisory, capital markets, net interchange, treasury management, and depository services. It serves consumers, small businesses, and commercial clients through digital channels, branches, cafés, and other distribution channels located in New York, Louisiana, Texas, Maryland, Virginia, New Jersey, and the District of Columbia. Capital One Financial Corporation was founded in 1988 and is headquartered in McLean, Virginia.",76300.0,3.0,6.0,2.0,5.0,1772323200.0,http://phx.corporate-ir.net/phoenix.zhtml?c=70667&p=irol-irhome,3.2,1.78,1771459200.0,0.77379996,1.61,1.139,53.361607,7.291174,643210.0,5367718.0,5472830.0,111509225472.0,143.22,259.64,259.64,4.625,3.4018495,212.548,216.91264,2.6,0.014466143,USD,111846768640.0,0.074829996,609219311.0,621931593.0,8761334.0,8458162.0,1769731200.0,1772150400.0,0.014099999,0.01877,0.88563,1.62,0.014199999,621931593.0,173.106,1.0357527,1767139200.0,1798675200.0,1767139200.0,0.947,1816000000.0,3.36,24.59069,3:1,928281600.0,3.412,,,0.16888046,0.8,1771459200.0,EQUITY,179.295,buy,21.0,59227000832.0,95.231,,53887000576.0,,,32778999808.0,,60.623,0.0036000002,0.02394,32778999808.0,,27718000640.0,0.222,0.516,0.0,0.0,0.22935,USD,US,Equity,Nasdaq Real Time Price,HIGH,Capital One Financial Corporati,Capital One Financial Corporation,,NYSE,5367718.0,NYQ,America/New_York,EDT,-14400000.0,us_market,36.074997,0.25188518,143.22 - 259.64,-80.34502,-0.30944774,3.043127,3.36,24.59069,20.31634,8.825163,-33.253006,-0.15644939,-37.617645,-0.17342302,15.0,1.7 - Buy,False,Capital One Financial,0.1886
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
COO,6101 Bollinger Canyon Road,San Ramon,94583,United States,925 460 3600,https://www.coopercos.com,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,"The Cooper Companies, Inc., together with its subsidiaries, develops, manufactures, and markets contact lens wearers. The company operates in two segments, CooperVision and CooperSurgical. The CooperVision segment offers spherical, toric, and multifocal contact lenses that address vision challenges, such as astigmatism, presbyopia, and myopia. Its CooperSurgical segment focuses on family and women's health care, which provides fertility products and services, medical devices, and contraception, as well as cryostorage, such as cord blood and cord tissue storage. This segment offers Paragard, a hormone-free intrauterine device; and fertility consumables and equipment, donor gamete services, and genomic services, including genetic testing. The company sells its products to distributors, group purchasing organizations, eye care and health care professionals, including independent practices, corporate retailers, hospitals and clinics, and authorized resellers. The Cooper Companies, Inc. was founded in 1958 and is headquartered in San Ramon, California.",15000.0,10.0,2.0,3.0,5.0,1772323200.0,http://investor.coopercos.com/,,,1690329600.0,0.0,0.02,1.03,35.044777,14.036879,203380.0,2061949.0,2709940.0,13743858688.0,61.78,89.83,115.8975,0.105469,3.3103373,80.55,74.5815,0.0,0.0,USD,16448739328.0,0.09668,193703721.0,195114398.0,6542018.0,8130732.0,1769731200.0,1772150400.0,0.0335,0.00603,1.05874,3.81,0.0382,195114398.0,42.869,1.6431454,1761868800.0,1793404800.0,1769817600.0,0.254,401400000.0,2.01,5.01821,4:1,1708387200.0,3.962,14.962,,0.16888046,0.0075,1690329600.0,EQUITY,70.44,buy,16.0,124900000.0,0.64,1099399936.0,2776900096.0,0.584,1.337,4151800064.0,33.201,20.955,0.03639,0.04868,2717100032.0,367087488.0,866400000.0,0.269,0.062,0.65444,0.26479998,0.20778999,USD,US,Equity,Nasdaq Real Time Price,HIGH,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",,NasdaqGS,2061949.0,NMS,America/New_York,EDT,-14400000.0,us_market,8.660004,0.14017488,61.78 - 89.83,-19.39,-0.21585216,-12.89928,2.01,5.01821,4.6204,15.245434,-10.110001,-0.12551211,-4.1414948,-0.055529788,15.0,2.2 - Buy,False,The Cooper Companies,1.8443
COP,925 North Eldridge Parkway,Houston,77079-2703,United States,281 293 1000,https://www.conocophillips.com,Oil & Gas E&P,oil-gas-e-p,Energy,energy,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids. It operates in five segments: Alaska; Lower 48; Canada; Europe, Middle East and North Africa; and Asia Pacific. The company's portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; global LNG developments; oil sands assets in Canada; and an inventory of global exploration prospects. It serves in the United States, Canada, China, Equatorial Guinea, Libya, Malaysia, Norway, Singapore, the United Kingdom, and internationally. ConocoPhillips was founded in 1917 and is headquartered in Houston, Texas.",9900.0,7.0,5.0,8.0,6.0,1772323200.0,http://www.conocophillips.com/investor-relations/Pages/default.aspx,3.36,2.67,1771372800.0,0.5008,2.5,0.279,19.984253,18.296745,1971176.0,8889179.0,10799950.0,155114848256.0,79.88,127.6,138.49,2.98574,2.5732818,107.7692,96.2036,3.18,0.02523409,USD,171452186624.0,0.13252,1219772240.0,1222339152.0,19817813.0,15732676.0,1769731200.0,1772150400.0,0.0162,0.00102,0.84894997,2.43,0.0162,1222339152.0,52.635,2.4109435,1767139200.0,1798675200.0,1767139200.0,-0.375,7960999936.0,6.35,6.93566,1311791:1000000,1335830400.0,2.844,7.096,,0.16888046,0.84,1771372800.0,EQUITY,126.9,buy,27.0,6981000192.0,5.711,24160999424.0,24394000384.0,1.069,1.297,60279001088.0,37.828,48.145,0.06421,0.12357,27836999680.0,7486875136.0,19796000768.0,-0.39,-0.068,0.4618,0.40082002,0.16299999,USD,US,Equity,Nasdaq Real Time Price,HIGH,ConocoPhillips,ConocoPhillips,,NYSE,8889179.0,NYQ,America/New_York,EDT,-14400000.0,us_market,47.020004,0.588633,79.88 - 127.6,-0.69999695,-0.0054858695,21.32064,6.35,6.93566,5.54065,22.90345,19.130798,0.17751637,30.696404,0.3190775,15.0,1.8 - Buy,False,,4.1945
